date,@home_mailer,@ccm_web_site,@social_media,@community_event,@family_member_or_friend,@current_ccm_student,@ccm_alumni,@high_school_teacher,@high_school_counselor,@in-app_advertisement,@employer,@billboard,@television,@radio,@other,decision_impact_affordable_cost,decision_impact_location/convenience,decision_impact_choice_of_programs,decision_impact_online_offerings,decision_impact_family/friend_referral,decision_impact_faculty/staff,decision_impact_college_reputation,decision_impact_financial_aid,decision_impact_scholarships,decision_impact_small_class_sizes,decision_impact_extra-curricular_opportunities,decision_impact_accepted_my_transfer_credits,decision_impact_negative_experience_at_another_college,decision_impact_nj_stars_program,decision_impact_ability_to_transfer,decision_impact_get_college_credit_while_in_high_school,major,gender
2020/07/28 3:21:36 PM EST,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Don't recall,Don't recall,No Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
2020/07/28 4:07:22 PM EST,,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Woman
2020/07/28 8:12:47 PM EST,,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
2020/07/29 10:53:03 AM EST,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Non-major,Woman
2020/07/29 4:26:21 PM EST,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
2020/07/30 1:10:46 PM EST,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
2020/07/30 6:01:39 PM EST,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Other,Woman
2020/07/30 7:58:48 PM EST,,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,Computer Science / IT,Man
2020/07/31 1:58:09 PM EST,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science / IT,Man
2020/08/02 7:04:38 PM EST,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science / IT,Man
